@relation 'EPA Eastern Lakes Survey - 1984-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1'

@attribute aluminum numeric
@attribute calcium numeric
@attribute carbonate numeric
@attribute color numeric
@attribute elevation numeric
@attribute inlets {zero,one,few,many}
@attribute potassium numeric
@attribute area numeric
@attribute type {lake,pond,reservoir,swamp}
@attribute volume numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute ammonium numeric
@attribute nitrate numeric
@attribute outlets {zero,few,one}
@attribute precipitation numeric
@attribute runoff {5,10,15,20,25,30}
@attribute sulfate numeric
@attribute ph {low,high}

@data
72.5,1.086,0,15,606.6,one,0.491,15,swamp,0.111,41.215271,-75.670776,0.051,0.012,one,0.699,20,5.585,low
22,0.81,0,20,489.2,zero,0.38,33.199982,lake,0.893,45.955536,-89.791626,0.1,0.229,zero,0.885,10,2.39,low
123.2,2.38,0.001,5,619.4,one,0.783,5,lake,0.128,41.436096,-75.512451,0.018,0.005,zero,0.71,20,9.431,low
101.8,0.882,0.002,25,292.3,one,0.656,11.699997,reservoir,0.38,42.934692,-72.216614,0.051,0.017,one,1.025,20,4.932,low
53.3,0.668,0,10,74.1,zero,0.255,23.699997,pond,1.825,44.533875,-68.170227,0.01,0.049,one,1.299,25,3.066,low
64.5,2.219,0.001,5,406.3,few,0.438,22,lake,0.439,41.112488,-75.769409,0.017,0.015,one,0.699,20,4.891,low
56.2,1.634,0.001,5,237.7,zero,0.25,7,pond,0.159,44.415253,-70.262451,0.014,0.062,one,0.959,20,5.817,low
17,1.27,0.001,15,477,zero,0.72,24.5,lake,1.069,45.591644,-89.416626,0.02,0.061,zero,0.885,10,4.84,low
175.8,1.909,0.001,85,149.4,one,0.121,9.399994,pond,0.131,45.258331,-69.394409,0.035,0.031,one,0.983,20,3.226,low
35,0.98,0.001,10,488,zero,0.52,43.599976,lake,1.295,46.018311,-89.91333,0.02,0.093,zero,0.885,10,3.09,low
21,0.825,0.001,17.5,336.2,zero,0.51,8.599998,lake,0.132,46.684998,-91.058289,0.055,0.0755,zero,0.87,15,3.345,low
125,1.8,0.005,85,483.1,few,0.88,13.099998,lake,1.149,46.315552,-89.074158,0.07,0.232,zero,0.885,10,3.67,low
22,0.7,0.001,25,517.9,zero,0.38,6.199997,lake,0.175,46.163879,-89.448608,0,0,zero,0.885,10,1.6,low
115.6,1.127,0.001,10,662.6,zero,0.147,6,pond,0.05,44.866638,-70.558289,0.015,0.013,one,1.002,25,3.676,low
81,1.39,0.003,55,522.7,one,0.76,7.399998,lake,0.209,46.087494,-89.118042,0.05,0.007,one,0.885,10,3.86,low
474.5,1.31,0.005,200,19.8,zero,0.552,4.199997,pond,0.047,43.997192,-69.354126,0.118,0.078,one,0.973,20,2.783,low
104.4,1.727,0.003,55,179.5,one,0.546,17.299988,pond,0.851,42.633331,-72.233276,0.037,0.015,one,1.017,20,4.812,low
79,1.92,0.001,65,263,zero,0.36,10.599998,lake,0.059,46.506653,-86.072205,0.039,0.269,zero,1.173,15,3.94,low
30,1.14,0.001,20,477.6,zero,0.83,11.5,lake,0.325,45.578583,-89.434692,0.02,0.112,zero,0.885,10,3.64,low
10,0.9,0.001,5,32.6136,zero,0.52,8.299995,pond,0.22,41.886108,-70.695801,0.01,0.015,one,0.955,20,5.91,low
66,1.39,0.002,45,516.3,zero,0.39,5.899998,lake,0.192,46.268036,-89.502747,0.08,0.112,zero,0.885,10,3.46,low
35,2.31,0.004,10,396.5,one,0.36,30,pond,2.631,41.311096,-74.929138,0.01,0.04,one,0.995,20,7.39,low
42,0.92,0.001,18,327.7,zero,0.65,12.899994,lake,0.239,46.661926,-91.054138,0.04,0.073,zero,0.87,15,3.81,low
251,1.49,0.003,110,449.6,zero,0.36,21.099991,lake,0.48,47.976929,-92.029114,0.01,0.185,one,0.789,5,3.47,low
38,0.97,0.002,25,381.6,zero,0.32,9,lake,0.092,46.982483,-88.718567,0,0.044,zero,0.864,15,2.71,low
35,2.13,0.003,20,199.644,one,0.57,6.5,pond,0.048,42.448303,-71.847168,0,0.019,one,0.982,25,5.25,low
18,0.94,0.003,20,467.9,zero,0.98,4.199997,lake,0.119,45.374969,-88.985229,0.038,0,zero,0.885,10,3.37,low
21,0.7,0.007,25,518.5,zero,0.29,4.5,lake,0.127,46.168884,-89.157471,0,0,zero,0.885,10,0.6,low
17,1.16,0.003,15,486.8,zero,0.63,17.199997,lake,1.165,46.012482,-90.020813,0.05,0.372,zero,0.885,10,3.49,low
102.9,3.513,0.073,90,129.5,one,0.357,4.5,pond,0.019,44.341644,-70.354126,0.036,0.024,zero,0.96,20,2.368,low
76,1.37,0.005,25,187.452,few,0.49,15,pond,0.084,42.483307,-71.829163,0,0.035,one,0.982,20,5.03,low
272,1.55,0.003,130,449.9,few,0.24,25.299988,lake,0.176,47.952759,-92.137451,0,0.344,zero,0.789,5,3.6,low
52,0.91,0.007,42,350.5,zero,0.56,8.099998,lake,0.135,46.520813,-91.479126,0,0,zero,0.862,10,1.27,low
18.5,1.145,0.008,30,336.2,zero,0.205,13.699997,lake,0.153,46.224976,-91.655518,0.035,0.0685,one,0.869,10,1.74,low
55.2,1.355,0.005,10,136.8552,one,0.738,7.099998,pond,0.03,41.772766,-71.660522,0.016,0,one,0.96,20,5.584,low
26.4,0.642,0.003,5,20.1168,zero,0.536,6.799999,pond,0.151,41.81665,-70.674988,0.012,0,one,0.953,20,5.602,low
94,4.936,0.006,100,29.3,one,1.938,8.899994,lake,0.124,28.59082,-81.808289,0.017,0.098,one,1.231,5,4.92,low
